Lukáš Hrádecký
Jérémy Le Douaron
Mathias Pereira Lage
Jonas Martin
Kamory Doumbia
Julien Le Cardinal
Grégoire Coudert
Bilal Brahimi
Achraf Dari
Jordan Amavi
Axel Camblan
Adrien Lebeau
Karamoko Dembele
Luc Zogbé
Hianga Mananga Mbock
Christophe Hérelle
Yan Marillat
Ollie Watkins
Ezri Konsa
John McGinn
Douglas Luiz
Emiliano Martínez
Pau Torres
Lucas Digne
Moussa Diaby
Matty Cash
Leon Bailey
Diego Carlos
Boubacar Kamara
Youri Tielemans
Clément Lenglet
Álex Moreno
Nicolò Zaniolo
Jacob Ramsey
Morgan Rogers
Robin Olsen
Jhon Durán
Tim Iroegbunam
Calum Chambers
Leander Dendoncker
Tyrone Mings
Omari Kellyman
Philippe Coutinho
Bertrand Traoré
Cameron Archer
Kaine Kesler-Hayden
Finley Munroe
Jaden Philogene Bidace
Lander Emery
Joe Gauci
Filip Marshall
Tommi O'Reilly
Sam Proctor
James Wright
Kadan Young
Oliwier Zych
Lucas Chevalier
Leny Yoro
Jonathan David
Angel Gomes
Benjamin André
Ismaily
Tiago santos
Edon Zhegrova
Alexsandro Ribeiro
Nabil Bentaleb
Bafodé Diakité
Yusuf Yazıcı
Hákon Arnar Haraldsson
Rémy Cabella
Gabriel Gudmundsson
Ivan Cavaleiro
Adam Ounas
Samuel Umtiti
Ayyoub Bouaddi
Vito Mannone
Alan Virginius
Carlos Baleba
Ignacio Miramon
Tiago Fonseca Morais
Trévis Dago
Andrej Ilic
Ichem Ferrah
Aaron Malouda
Vincent Burlet
Rafael Fernandes
Adam Jakubech
Amine Messoussa
Akim Zedadka
Guglielmo Vicario
Pedro Porro
Son Heung-min
Cristian Romero
Dejan Kulusevski
Destiny Udogie
Micky van de Ven
Pape Matar Sarr
James Maddison
Yves Bissouma
Brennan Johnson
Richarlison
Rodrigo Bentancur
Ben Davies
Emerson
Pierre Højbjerg
Oliver Skipp
Giovani Lo Celso
Radu Drăgușin
Bryan Gil
Manor Solomon
Ivan Perišić
Davinson Sánchez
Alejo Véliz
Dane Scarlett
Mikey Moore
Jamie Donley
Brandon Austin
Alfie Dorrington
Fraser Forster
Tyrese Hall
Ashley Phillips
Yago Santiago
Alfie Whiteman
Bryan Cristante
Gianluca Mancini
Leandro Paredes
Romelu Lukaku
Diego Llorente
Obite N'Dicka
Paulo Dybala
Rui Patrício
Lorenzo Pellegrini
Rasmus Kristensen
Stephan El Shaarawy
Edoardo Bove
Mile Svilar
Leonardo Spinazzola
Rick Karsdorp
Angeliño
Nicola Zalewski
Houssem Aouar
Andrea Belotti
Zeki Çelik
Tommaso Baldanzi
Chris Smalling
Sardar Azmoun
Tammy Abraham
Renato Sanches
Riccardo Pagano
Ola Solbakken
João Costa
Niccolò Pisilli
Filippo Alessio
Luigi Cherubini
Francesco D'Alessio
Conor Gallagher
Moisés Caicedo
Nicolas Jackson
Axel Disasi
Thiago Silva
Enzo Fernández
Đorđe Petrović
Raheem Sterling
Levi Colwill
Marc Cucurella
Malo Gusto
Mykhailo Mudryk
Robert Sánchez
Benoît Badiashile
Noni Madueke
Trevoh Chalobah
Ben Chilwell
Armando Broja
Reece James
Lesley Ugochukwu
Christopher Nkunku
Carney Chukwuemeka
Alfie Gilchrist
Cesare Casadei
Roméo Lavia
Deivid Washington
Mason Burstow
Joshua Acheampong
Alex Matos
Jimi Tauriainen
Marcus Bettinelli
Eddie Beach
Lucas Bergström
Joshua Brooking
Leo Castledine
Ted Curd
Kiano Dyer
Tyrique George
Ollie Harrison
Bashir Humphreys
Diego Moreira
Ishé Samuels-Smith
Andrey Santos
Teddy Sharman
Zak Sturge
Ronnie Stutter
Marcin Bułka
Dante
Melvin Bard
Jean-Clair Todibo
Khéphren Thuram
Jeremie Boga
Morgan Sanson
Terem Moffi
Gaëtan Laborde
Pablo Rosario
Jordan Lotomba
Youssouf Ndayishimiye
Hicham Boudaoui
Evann Guessand
Mohamed Ali Cho
Sofiane Diop
Youcef Atal
Alexis Claude-Maurice
Antoine Mendy
Tom Louchet
Romain Perraud
Badredine Bouanani
Aliou Badara Baldé
Valentin Rosier
Reda Belahyane
Daouda Traoré
Ayoub Amraoui
Robson Bambu
Alexis Beka Beka
Maxime Dupé
Salvatore Sirigu
Adam Marušić
Felipe Anderson
Ivan Provedel
Luis Alberto
Mattéo Guendouzi
Alessio Romagnoli
Mattia Zaccagni
Mario Gila
Ciro Immobile
Manuel Lazzari
Patric
Daichi Kamada
Valentín Castellanos
Nicolò Casale
Nicolò Rovella
Danilo Cataldi
Gustav Isaksen
Elseid Hysaj
Matías Vecino
Luca Pellegrini
Christos Mandas
Pedro
Marius Adamonis
Toma Bašić
Saná Fernandes
Diego González
Dimitrije Kamenović
Anderson Lima
Luigi Sepe
Bruno Guimarães
Fabian Schär
Anthony Gordon
Dan Burn
Sean Longstaff
Alexander Isak
Kieran Trippier
Miguel Almirón
Martin Dúbravka
Sven Botman
Nick Pope
Joelinton
Lewis Miley
Jacob Murphy
Jamaal Lascelles
Valentino Livramento
Elliot Anderson
Callum Wilson
Emil Krafth
Lewis Hall
Harvey Barnes
Sandro Tonali
Joe Willock
Loris Karius
Matt Targett
Matt Ritchie
Ben Parkinson
Paul Dummett
Alex Murphy
Joe White
Amadou Diallo
Michael Ndiweni
Mark Gillespie
Travis Hearnes
Javier Manquillo
Álex Remiro
Martín Zubimendi
Igor Zubeldia
Robin Le Normand
Mikel Merino
Brais Méndez
Hamari Traoré
Takefusa Kubo
Mikel Oyarzabal
Ander Barrenetxea
Beñat Turrientes
Jon Pacheco
Arsen Zakharyan
Kieran Tierney
Umar Sadiq
Aihen Muñoz
André Silva
Sheraldo Becker
Aritz Elustondo
Jon Aramburu
Carlos Fernández
Olasagasti
Urko González
Unai Marrero
Jon Magunacelaya
Alex Sola
Alberto Dadie
Jon Martin
Gaizka Ayesa
Bryan Fiabema
Jon Karrikaburu
Pablo Marín
Roberto Navarro
Diego Rico
André Onana
Diogo Dalot
Bruno Fernandes
Alejandro Garnacho
Marcus Rashford
Rasmus Højlund
Casemiro
Kobbie Mainoo
Aaron Wan-Bissaka
Scott McTominay
Harry Maguire
Raphaël Varane
Jonny Evans
Antony
Victor Lindelöf
Christian Eriksen
Luke Shaw
Sofyan Amrabat
Lisandro Martínez
Mason Mount
Anthony Martial
Sergio Reguilón
Amad Diallo
Willy Kambwala
Facundo Pellistri
Hannibal Mejbri
Omari Forson
Ethan Wheatley
Donny van de Beek
Daniel Gore
Harry Amass
Altay Bayındır
Rhys Bennett
Álvaro Carreras
Toby Collyer
Tom Heaton
Dean Henderson
Joe Hugill
Louis Jackson
Dermot Mee
Habeeb Ogunneye
Radek Vítek
Maxence Caqueret
Anthony Lopes
Jake O'Brien
Alexandre Lacazette
Clinton Mata
Nicolás Tagliafico
Duje Ćaleta-Car
Ernest Nuamah
Corentin Tolisso
Rayan Cherki
Ainsley Maitland-Niles
Nemanja Matić
Sinaly Diomande
Saïd Benrahma
Sael Kumbedi
Dejan Lovren
Henrique
Skelly Alvero
Gift Orban
Malick Fofana
Mama Samba Baldé
Orel Mangala
Mahamadou Diawara
Paul Akouokou
Jeffinho
Rémy Riou
Tino Kadewere
Johann Lepenant
Amin Sarr
Chaim El Djebali
Mamadou Sarr
Adryelson
Mohamed El Arouch
Lucas Perri
Jeff Reine-Adélaïde
Pietro Terracciano
Nikola Milenković
Giacomo Bonaventura
Cristiano Biraghi
Lucas Martínez Quarta
Arthur Melo
Alfred Duncan
Luca Ranieri
Michael Kayode
Nicolás González
Lucas Beltrán
Jonathan Ikone
Rolando Mandragora
Fabiano Parisi
M'Bala Nzola
Riccardo Sottil
Christian Kouamé
Antonín Barák
Josip Brekalo
Dodô
Maxime Lopez
Davide Faraoni
Oliver Christensen
Gaetano Castrovilli
Gino Infantino
Yerry Mina
Pietro Comuzzo
Lorenzo Amatucci
Christian Dalle Mura
Aleksandr Kokorin
Tommaso Martinelli
Niccolò Pierozzi
Abdelhamid Sabiri
Brice Samba
Facundo Medina
Kevin Danso
Florian Sotoca
Jonathan Gradit
Przemysław Frankowski
Elye Wahi
Neil El Aynaoui
Salis Abdul Samed
David Pereira da Costa
Angelo Fulgini
Andy Diouf
Adrien Thomasson
Deiver Machado
Nampalys Mendy
Wesley Saïd
Abduqodir Xusanov
Massadio Haïdara
Jhoanner Chávez
Morgan Guilavogui
Stijn Spierings
Jean-Louis Leca
Faitout Maouassa
Ayanda Sishuba
Oscar Cortés
Adam Abeddou
Anthony Bermont
Jimmy Cabot
Fodé Sylla
Germán Pezzella
Ayoze Pérez
Rui Silva
Isco
Willian José
Chadi Riad
Marc Roca
Guido Rodríguez
Juan Miranda
Héctor Bellerín
Abner
Johnny Cardoso
Pablo Fornals
Assane Diao
Sokratis Papastathopoulos
Youssouf Sabaly
Aitor Ruibal
Nabil Fekir
Claudio Bravo
Luiz Henrique
Sergi Altimira
William Carvalho
Andrés Guardado
Luiz Felipe
Ezequiel Ávila
Francisco Barbosa
Marc Bartra
Cédric Bakambu
Ricardo Visus
Juan Cruz
Pablo Busto
Nobel Mendy
Pau López
Pierre-Emerick Aubameyang
Leonardo Balerdi
Chancel Mbemba
Jonathan Clauss
Jordan Veretout
Amine Harit
Samuel Gigot
Iliman Ndiaye
Geoffrey Kondogbia
Ismaila Sarr
Azzedine Ounahi
Renan Lodi
Michael Amir Murillo
Ulisses Garcia
Valentin Rongier
Pape Gueye
Luis Henrique
Quentin Merlin
Bamo Meïté
Jean Onana
Faris Pemi Moumbagna
François Mughe
Rubén Blanco
Bilal Nadir
Emran Soglo
Raimane Daou
Sofiane Sidi Ali
Keyliane Abdallah
Noam Mayoka-Tika
Roggerio Nyakossi
Stéphane Sparagna
Souleymane Touré
Stanislav Lobotka
Giovanni Di Lorenzo
Andre-Frank Zambo Anguissa
Khvicha Kvaratskhelia
Alex Meret
Matteo Politano
Amir Rrahmani
Juan Jesus
Piotr Zieliński
Victor Osimhen
Leo Skiri Østigård
Mathías Olivera
Giacomo Raspadori
Mário Rui
Jens Cajuste
Natan
Giovanni Simeone
Pierluigi Gollini
Hamed Junior Traorè
Pasquale Mazzocchi
Jesper Lindstrøm
Cyril Ngonge
Gianluca Gaetano
Alessio Zerbin
Diego Demme
Alessandro Zanoli
Nikita Contini Baranovsky
Hirving Lozano
Karim Zedadka
Vanja Milinković-Savić
Raoul Bellanova
Ricardo Rodríguez
Nikola Vlašić
Alessandro Buongiorno
Samuele Ricci
Adrien Tameze
Ivan Ilić
Antonio Sanabria
Valentino Lazaro
Karol Linetty
Mërgim Vojvoda
Adam Masina
Perr Schuurs
Koffi Djidji
Pietro Pellegri
Matteo Lovato
Demba Seck
Gvidas Gineitis
Nemanja Radonjić
David Okereke
Saba Sazonov
Luca Gemello
Brandon Soppy
Yann Karamoh
David Zima
Zanos Savva
Alessandro Dellavalle
Simone Verdi
Brian Bayeye
Aaron Ciammaglichella
Ali Dembélé
Emirhan İlkhan
Uroš Kabić
Mihai Popa
Filip Jørgensen
Alex Baena
Alexander Sørloth
Daniel Parejo
Gerard Moreno
Raúl Albiol
Jorge Cuenca
Santi Comesaña
Ilias Akhomach
Alberto Moreno
Kiko Femenía
Étienne Capoue
Yerson Mosquera
Alfonso Pedraza
Aïssa Mandi
Juan Foyth
Francis Coquelin
Adrià Altimira
Gonçalo Guedes
Eric Bailly
José Luis Morales
Yeremi Pino
Ramón Terrats
Manu Trigueros
Ben Brereton
Carlos Romero
Pepe Reina
Denis Suárez
Stefan Lekovic
Pascu
Iker Álvarez
Abraham Rando
Willian Pacho
Kevin Trapp
Robin Koch
Tuta
Omar Marmoush
Junior Dina Ebimbe
Ellyes Skhiri
Ansgar Knauff
Mario Götze
Fares Chaïbi
Hugo Larsson
Aurélio Buta
Philipp Max
Niels Nkounkou
Sasa Kalajdzic
Hrvoje Smolčić
Jessic Ngankam
Makoto Hasebe
Jens Grahl
Kristijan Jakić
Jean Mattéo Bahoya
Paxten Aaronson
Nnamdi Collins
Jesper Lindstrøm
Sebastian Rode
Jens Petter Hauge
Nacho Ferri
Elias Baum
Timothy Chandler
Marko Mladenović
Yehvann Diouf
Yunis Abdelhamid
Junya Ito
Emmanuel Agbadou
Marshall Munetsi
Teddy Teuma
Thomas Foket
Thibault De Smet
Joseph Okumu
Mohammed Daramy
Oumar Diakité
Keito Nakamura
Azor Matusiwa
Reda Khadra
Amir Richardson
Sergio Akieme
Valentin Atangana Edoa
Josh Wilson-Esbrand
Amadou Koné
Therence Koudou
Benjamin Stambouli
Abdoul Koné
Amine Salama
Mamadou Diakhon
Maxime Busi
Ibrahim Diakité
Adama Bojang
Yaya Kader Fofana
Christ Mbondi
Fallou Fall
Check Keita
Samuel Koeberlé
Alexandre Olliero
Nhoa Sangui
Vladimír Coufal
Emerson Palmieri
Jarrod Bowen
James Ward-Prowse
Tomáš Souček
Kurt Zouma
Alphonse Areola
Lucas Paquetá
Edson Álvarez
Mohammed Kudus
Nayef Aguerd
Michail Antonio
Konstantinos Mavropanos
Łukasz Fabiański
Angelo Ogbonna
Ben Johnson
Aaron Cresswell
Danny Ings
Maxwel Cornet
Divin Mubama
George Earthy
Kaelan Casey
Joseph Anang
Conor Coventry
Levi Laing
Callum Marshall
Lewis Orford
Oliver Scarles
Steve Mandanda
Benjamin Bourigeaud
Arthur Theate
Arnaud Kalimuendo
Adrien Truffert
Amine Gouiri
Warmed Omari
Baptiste Santamaria
Enzo Le Fée
Martin Terrier
Ludovic Blas
Désiré Doué
Jeanuël Belocian
Christopher Wooh
Guela Doué
Lorenz Assignon
Azor Matusiwa
Alidu Seidu
Ibrahim Salah
Bertuğ Yıldırım
Fabian Rieder
Mahamadou Nagida
Lovro Majer
Birger Meling
Mathis Lambourde
Jérémy Jacquet
Djaoui Cissé
Gauthier Gallon
Matthis Abline
Mohamed Jaouab
Geoffrey Lembet
Flavien Tait
Oliver Baumann
Maximilian Beier
Pavel Kadeřábek
Ozan Kabak
Grischa Prömel
Anton Stach
Florian Grillitsch
Andrej Kramarić
Wout Weghorst
John Brooks
Ihlas Bebou
Marius Bülter
Kevin Vogt
Robert Skov
Umut Tohumcu
Kevin Akpoguma
Stanley N'Soki
Tim Drexler
Finn Ole Becker
David Jurásek
Attila Szalai
Tom Bischof
Mergim Berisha
Dennis Geiger
Julian Justvan
Bambasé Conté
Max Moerstedt
Kasim Nuhu
Diadie Samassékou
Luca Philipp
Nahuel Noll
Joshua Quarshie
Josep Martinez
Morten Frendrup
Albert Guðmundsson
Johan Vásquez
Milan Badelj
Stefano Sabelli
Mattia Bani
Koni De Winter
Mateo Retegui
Ruslan Malinovskyi
Aarón Martín
Kevin Strootman
Alessandro Vogliacco
Junior Messias
Caleb Ekuban
Morten Thorsby
Djed Spence
Ridgeciano Haps
Nicola Leali
George Pușcaș
Silvan Hefti
Giorgio Cittadini
Alan Matturro
Davide Biraschi
Berkan Kutlu
David Akpan Ankeye
Emil Bohinen
Seydou Fini
Filip Jagiełło
Pablo Galdames Millán
Daniele Sommariva
Christos Papadopoulos
Mattia Aramu
Faroukou Cissé
Massimo Coda
Joachim Andersen
Tyrick Mitchell
Jordan Ayew
Jefferson Lerma
Jean-Philippe Mateta
Eberechi Eze
Chris Richards
Marc Guéhi
Joel Ward
Will Hughes
Sam Johnstone
Odsonne Édouard
Jeffrey Schlupp
Daniel Muñoz
Adam Wharton
Nathaniel Clyne
Michael Olise
Cheick Doucouré
Jaïro Riedewald
Matheus França
Naouirou Ahamada
David Ozoh
