,Name,Age,Club,League,Tier,Forwards,Midfielders,Center Backs,Att Mid / Wingers,Fullbacks,MF,FW,DF,FB,DM,AM,CB,CM,WM,left,right,Position,Detailed,Side,Per 90 Minutes_npxG+xAG,Standard_SoT/90,Standard_Dist,Expected_np:G-xG,Long_Cmp,Expected_xA,Expected_A-xAG,CrsPA,PrgP,SCA_SCA90,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Blocks_Pass,Blocks_Sh,Int,Clr,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ,Carries_PrgDist,Carries_PrgC,Carries_CPA,Receiving_PrgR,Performance_Fld,Performance_PKwon,Performance_Recov,Aerial Duels_Won,PK_Accuracy,Goals/npxG,Shot_Accuracy,Goals/SoT,Expected:A-xAG,Long_pass_acc,Overall_pass_acc,Aerial_acc,Take-On-Eff,Set-Piece-Eff,PrgP%,Through-Ball%,Switches%,Long-Ball%,Skill_Passes,Attacking_Passes,Attacking_Carries,Tackle_acc,Challenges_acc,PrgC%,Avg-Carry-Prog-Dist,Avg-Pass-Prog-Dist,Defensive-actions,On-the-ball-vertical-position,Off-the-ball-vertical-position,Carries-Succes%
10,Abdou Harroui,26,Verona,Serie A,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,MF,CM-WM,,59.02926481084939,70.581935023206,56.456893415787555,66.79813553244891,42.84689852993905,53.31660093223377,80.42309071351738,62.101111509501614,52.81462889924704,62.423807816421665,71.0290426676228,68.33990677662246,56.328433130154174,78.66618859806383,68.67857142857143,61.41986375044819,78.02079598422374,62.2803872355683,49.0139835066332,69.989243456436,39.404804589458585,33.42857142857143,26.210111150950162,50.91430620294012,54.7508067407673,75.94119756185013,45.64359985657942,70.31193976335605,66.00932233775548,49.12154894227322,50.42857142857143,77.75787965616045,58.121190390821084,39.83506633201864,79.99021526418787,55.0232391848409,51.43266475644699,45.581896551724135,56.81655960028551,72.32658959537572,61.14901256732496,62.0216606498195,49.94547437295529,75.3723211042499,89.33572710951526,61.00538599640933,82.08258527827648,55.22441651705565,49.04983865184654,50.91430620294012,68.62674793832915,35.03597122302158,43.12092686459088,80.00717875089734,68.7724335965542,41.4721723518851,42.703477949085695,61.248654467169,52.751629254163646,25.376884422110553
11,Abdoulaye Bamba,34,Angers,Ligue 1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,DF,CB-FB,right,7.28051391862955,4.391288825419493,45.7984721716988,49.55181068483328,39.225528863391894,17.748296880602364,48.15346002151309,53.424166367873795,20.258157045536034,17.712441735389028,23.377554679096452,4.517748296880603,14.700609537468626,48.08174973108641,34.64285714285714,51.595553961993545,11.868053065614916,16.70849766941556,44.89064180709932,8.210828253854428,41.914664754392255,49.67857142857143,62.88992470419505,17.031193976335604,2.6891358910003587,12.621011115095015,23.736106131229832,23.843671566869844,27.536751523843673,27.895302975977053,16.607142857142858,26.396848137535816,20.831839368949446,25.026891358910003,,46.76439041830533,76.79083094555874,39.87068965517241,57.70877944325482,32.369942196531795,62.40574506283663,55.198555956678696,53.83496910214467,30.403196512895025,18.06104129263914,39.10233393177738,9.443447037701976,61.4721723518851,40.982430978845464,15.166726425242022,17.31803513804231,58.309352517985616,81.93338160753078,33.99138549892319,38.54989231873654,82.36983842010773,38.29329508784511,19.483315392895587,9.37726285300507,80.8686288585786
12,Abdoulaye Doucouré,31,Everton,Premier League,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,FW-MF,AM-CM-DM,,66.45253390435403,68.68975365940736,4.401600582029829,60.70276084618143,23.449264969523124,27.931158121190393,60.20078881319469,21.692362854069557,40.44460380064539,71.85371100752958,49.946217282179994,47.07780566511294,17.963427751882396,70.56292577984941,38.607142857142854,37.36106131229832,50.233058443886705,52.420222301900324,29.150233058443888,36.966654714951595,43.2771602724991,42.535714285714285,31.086410899964147,32.48476156328433,43.13373969164575,41.66367873789889,23.054858372176408,31.695948368590894,42.416636787378984,31.15812119039082,4.464285714285714,26.396848137535816,53.244890641807096,34.779490856937976,,86.05648909545943,32.55730659025788,87.64367816091954,79.40756602426838,81.0693641618497,58.92280071813285,56.064981949458485,75.281715739731,58.953868507083186,66.82226211849192,44.20107719928187,30.592459605026928,16.696588868940754,13.373969164575117,29.795625672283972,35.245607744711364,32.94964028776978,25.633598841419264,42.71356783919598,33.560660445082554,28.114901256732495,29.042667622803876,54.072479368496595,55.7204923968139,48.67193108399139
13,Abdoulaye Niakhate Ndiaye,22,Brest,Ligue 1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,DF,CB,,3.3190578158458246,2.427704391288825,38.413968715896694,22.30190032269631,95.41054141269272,18.85980638221585,95.6615274291861,28.82753675152384,79.41914664754393,1.3983506633201863,7.708856220867695,58.47974184295447,34.81534600215131,10.290426676228039,92.39285714285714,90.96450340623879,62.423807816421665,12.656866260308355,81.17604876299748,76.58659017569022,97.2750089637863,93.03571428571429,95.15955539619935,3.6930799569738255,30.297597705270707,52.70706346360703,94.04804589458587,21.2621011115095,3.60344209394048,1.6851918250268914,74.5,26.396848137535816,80.49480100394406,89.60200788813195,,5.470146585627457,97.67191977077364,27.280890804597703,85.33190578158458,67.8106936416185,85.2423698384201,69.78339350180505,77.97164667393675,31.238648746821653,11.095152603231599,21.543985637342907,53.680430879712745,87.57630161579893,27.931158121190393,60.7744711366081,1.541771244173539,95.86330935251799,71.7595944967415,3.589375448671931,79.07394113424265,95.76301615798923,92.50627465041234,0.5382131324004306,2.9688631426502536,94.14931801866476
14,Abdoulaye Touré,30,Le Havre,Ligue 1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,FW-MF,CM-DM,,27.480371163454677,33.809353802213494,36.413241178610406,29.831480817497315,42.20150591609896,17.46145571889566,44.424524919325926,29.795625672283972,52.348512011473645,41.7712441735389,53.31660093223377,45.67945500179276,67.94550017927573,51.344567945500174,36.5,31.55252778773754,55.539619935460735,28.289709573323773,38.97454284689853,29.401219074937252,57.08139117963428,56.03571428571429,32.59232699892435,20.258157045536034,10.111150950161347,52.491932592327,19.756185012549302,17.353890283255645,21.08282538544281,20.114736464682682,51.32142857142858,69.01862464183381,50.37647902474005,47.07780566511294,79.99021526418787,24.061494458348232,91.15329512893983,25.323275862068968,52.17701641684511,88.04190751445087,63.55475763016158,72.70758122743682,89.49472918938568,10.679258990192517,87.07360861759426,45.745062836624776,72.24416517055656,43.447037701974864,19.863750448189315,39.08210828253855,24.30978845464324,35.539568345323744,41.63649529326575,23.653984206748028,18.305814788226847,50.70017953321364,32.34134098243098,34.33799784714747,52.53439536567704,50.9332376166547
15,Abdukodir Khusanov,20,Lens,Ligue 1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,DF,,,8.279800142755175,48.94680471260264,90.28737722808295,11.545356758694874,94.62172821799928,36.106131229831476,10.541412692721405,52.70706346360703,88.20365722481176,17.640731444962352,7.708856220867695,84.83327357475797,68.05306561491574,97.56185012549301,96.64285714285714,94.08390103979922,91.71746145571889,39.29723915381857,91.46647543922552,85.12011473646469,98.38651846539979,99.25,97.20329867335963,27.716027249910365,32.735747579777694,8.641089996414486,86.05234851201148,30.907135173897455,3.60344209394048,22.26604517748297,77.0,26.396848137535816,91.68160631050556,91.78917174614557,,1.823382195209153,9.20487106017192,1.5625,32.369735902926486,75.28901734104046,90.73608617594256,95.74007220216606,45.347146492184656,10.679258990192517,19.748653500897667,6.840215439856373,47.93536804308797,61.795332136445246,52.99390462531374,86.23162423807817,31.695948368590894,78.41726618705036,76.61115133960898,4.917444364680545,9.763101220387654,91.41831238779174,96.45034062387953,5.525654825977753,17.30629978276611,89.5908111988514
16,Abdul Fatawu Issahaku,20,Leicester City,Premier League,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FW-MF,,,78.12276945039258,76.36558372009996,86.10403783193888,51.38042309071352,79.99282897095733,97.34671925421297,93.54607386159914,96.7013266403729,79.88526353531732,82.32341340982431,96.27106489781283,82.75367515238436,94.40659734671925,64.53926138400861,95.46428571428571,90.89279311581213,68.59089279311581,95.01613481534599,87.70168519182504,87.73754033703837,61.7067049121549,79.39285714285714,70.67049121548943,93.51021871638581,93.0441018286124,97.34671925421297,92.61384008605235,96.48619576909286,97.59770527070634,95.9483685908928,96.10714285714286,94.05444126074498,83.29150233058445,85.72965220509144,,5.112620664998213,60.780802292263616,3.5919540229885056,72.19842969307638,29.046242774566473,30.017953321364455,68.12274368231047,30.207197382769902,68.8339992735198,64.59605026929982,91.23877917414723,91.95691202872531,82.69299820466787,98.06382215847974,88.63391896737181,95.98422373610613,94.20863309352518,62.30992034757422,95.44149318018664,95.01076812634601,25.852782764811487,80.96091789171747,82.4183710082526,45.83635047067342,36.93467336683417
17,Abdul Mumin,26,Rayo Vallecano,La Liga,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,DF,CB,,4.5681655960028555,6.212067118886113,28.0465623863223,38.79526712083184,86.23162423807817,4.804589458587307,74.0408748655432,17.963427751882396,34.492649695231265,3.4062387952671207,7.708856220867695,18.931516672642523,6.722839727500897,37.43277160272499,42.892857142857146,63.284331301541776,36.57224811760488,6.704912154894227,37.7196127644317,28.002868411617065,89.92470419505199,67.57142857142857,90.78522768017211,5.1631409107206885,22.732162065256365,16.92362854069559,58.40803155252778,12.298314808174974,23.01900322696307,9.680889207601291,27.42857142857143,26.396848137535816,61.993546073861594,68.37576192183579,,46.22810153736146,92.87249283667622,83.6925287356322,70.27123483226268,49.096820809248555,78.99461400359067,61.227436823104696,54.889131225009095,29.34980021794406,4.021543985637343,6.840215439856373,70.16157989228007,95.5834829443447,20.68841878809609,25.24202223019003,10.254571531014701,36.43884892086331,59.413468501086165,8.183776022972003,28.427853553481697,92.85457809694793,80.13624955181069,1.2917115177610334,8.87038377986966,82.84278535534817
18,Abel,23,Osasuna,La Liga,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,DF,FB,left,17.059243397573162,36.34416279900036,66.86067660967625,85.58623162423807,76.51487988526353,86.87701685191826,21.620652563642885,97.81283614198637,75.2599498027967,24.7400501972033,68.91358910003585,49.085693797059875,77.26783793474364,85.44281104338472,96.21428571428572,92.43456435998566,85.76550735030477,89.13589100035854,93.76120473287916,91.35891000358552,62.85406955898172,89.10714285714286,86.33918967371818,85.94478307637145,50.806740767300106,81.2836141986375,81.03262818214414,86.7335962710649,64.93366798135533,85.37110075295806,89.0,26.396848137535816,86.76945141627823,79.52671208318394,,73.79335001787629,30.909742120343843,26.688218390804597,40.25695931477516,3.251445086705202,15.76301615798923,61.877256317689536,43.72955288985823,43.84308027606248,22.046678635547575,16.552962298025133,16.481149012567325,81.65170556552962,97.31086410899964,84.51057726783795,86.80530656149156,89.10071942446042,77.44388124547429,78.64321608040201,81.04809763101221,70.80789946140035,87.37898888490498,41.83710082526014,32.476466328747286,38.94472361809046
19,Abel Ruiz,24,Girona,La Liga,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FW,,,94.89650249821557,94.21635130310604,27.028010185522007,27.500896378630337,5.306561491574041,40.301183219792044,79.74184295446398,35.532448906418075,4.410182861240588,58.47974184295447,50.48404446038006,48.58372176407315,42.02223019003227,49.69523126568662,3.785714285714286,4.912154894227322,3.9082108282538544,23.01900322696307,6.418070993187522,5.844388669774113,21.87163858013625,7.178571428571429,9.358192900681248,38.04230907135174,71.45930441018287,32.48476156328433,5.916098960200788,33.91896737181786,67.40767300107565,58.766583004661165,24.75,26.396848137535816,3.1911079239870923,17.927572606669056,79.99021526418787,28.5305684662138,4.4054441260744985,35.3448275862069,6.566738044254104,73.91618497109826,42.872531418312384,7.725631768953069,45.910577971646674,29.822012350163458,32.567324955116696,74.54219030520647,34.32675044883303,6.9658886894075405,19.935460738615994,5.485837217640731,35.20975259949803,73.99280575539568,21.469949312092687,78.35606604450825,30.581478822684854,2.2621184919210053,2.223019003226963,97.02188733405094,92.14337436640115,14.860014357501793
20,Abner,24,Lyon,Ligue 1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,DF-MF,FB,left,45.68165596002855,37.77222420564084,76.53692251727901,9.465758336321262,71.92542129795626,81.2836141986375,22.26604517748297,68.08892076012908,70.95733237719612,31.01470060953747,41.699533883112224,55.25277877375403,6.722839727500897,10.290426676228039,93.64285714285714,87.66583004661169,77.84152025815705,71.67443528146289,90.42667622803873,88.95661527429186,78.70204374327716,89.71428571428571,92.61384008605235,83.39906776622445,71.88956615274293,51.09358192900682,73.10864108999641,66.65471495159555,75.00896378630334,77.23198278953029,12.0,26.396848137535816,83.36321262101112,67.12083183936895,,6.97175545227029,58.703438395415475,12.535919540229884,32.69093504639543,20.917630057803468,44.955116696588874,51.15523465703971,25.954198473282442,40.61024337086814,8.114901256732496,24.73967684021544,30.053859964093355,39.10233393177738,85.19182502689135,68.23234134098243,65.61491574040875,96.83453237410072,65.64083997103548,36.216798277099784,29.468772433596552,80.25134649910234,88.81319469343852,38.46429852888411,25.01810282404055,56.67623833452979
21,Achraf Dari,24,Al Ahly,Ligue 1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DF,,,15.239114917915774,59.30024991074616,81.19316114950891,94.2631767658659,96.59376120473287,3.4062387952671207,56.0774471136608,6.023664395840803,63.14091072068842,7.888131946934385,7.708856220867695,4.517748296880603,51.38042309071352,87.80925062746505,87.89285714285714,88.09609178917175,37.43277160272499,22.37361061312298,81.85729652205092,64.2524202223019,92.577984940839,96.07142857142857,94.90856937970598,6.453926138400861,39.01039799211187,10.290426676228039,81.06848332735748,3.764790247400502,3.60344209394048,3.3703836500537827,89.07142857142857,93.37392550143267,85.8013624955181,94.04804589458587,,37.28995352163032,5.121776504297994,15.193965517241379,64.20413990007138,60.00722543352601,58.491921005386,92.70758122743682,99.43656852053799,71.23138394478751,6.068222621184919,6.840215439856373,68.50987432675045,99.56912028725314,29.61634994621728,36.57224811760488,1.577626389386877,95.32374100719424,92.97610427226647,1.399856424982053,25.52045944005743,93.35727109515261,91.17963427751883,1.901686401148188,2.6430123099203473,91.67264895908112
22,Achraf Hakimi,25,Paris Saint-Germain,Ligue 1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,DF-MF,FB-WM,right,72.62669521770164,67.47590146376294,15.60567479083303,80.42309071351738,35.64001434205809,78.66618859806383,89.60200788813195,78.48691287199713,62.60308354248835,83.36321262101112,60.021513087128,43.635711724632486,72.14055216923629,63.92972391538186,70.42857142857143,59.591251344567944,43.2771602724991,69.16457511652922,61.41986375044819,56.7228397275009,29.580494801003944,56.53571428571429,35.10218716385801,78.20007171029043,64.2524202223019,66.76228038723558,75.22409465758336,78.02079598422374,78.48691287199713,80.88920760129078,56.57142857142857,75.64469914040114,49.40839010397992,12.083183936894946,,76.51054701465856,26.25358166189112,68.67816091954023,90.29264810849394,72.72398843930635,78.81508078994614,33.28519855595668,52.9989094874591,31.674536868870323,33.17773788150808,43.590664272890486,32.53141831238779,9.120287253141832,72.06884187880961,64.75439225528862,77.37540337038365,89.46043165467626,59.594496741491675,59.798994974874375,67.22900215362527,43.770197486535004,37.7196127644317,58.916397560100464,43.70021723388849,71.46446518305815
23,Adam Armstrong,27,Southampton,Premier League,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,FW-MF,AM,,72.69807280513919,74.75901463762942,13.423062931975263,38.97454284689853,11.688777339548226,51.52384367156687,81.71387594119757,51.631409107206885,12.513445679455002,45.858730727859445,76.15632843313016,74.93725349587666,56.68698458228756,42.09394048045895,2.571428571428571,10.433847257081391,5.808533524560774,47.68734313373969,5.70096808892076,27.249910362136966,17.927572606669056,5.607142857142857,7.565435640014343,55.10935819290068,76.80172104697024,46.61168877733955,19.505198996055935,60.52348512011474,77.66224453209036,68.69845822875583,6.035714285714286,65.97421203438395,6.597346719254213,11.366081032628182,33.36594911937378,62.066499821237045,25.2865329512894,71.98275862068965,98.10849393290508,25.289017341040466,34.1113105924596,17.545126353790614,10.614322064703744,53.069378859426074,60.0,73.96768402154399,65.67324955116696,29.730700179533216,32.66403728935102,16.34994621728218,62.423807816421665,14.20863309352518,8.544532947139754,90.30868628858578,68.12634601579325,11.382405745062837,5.736823234134098,94.47434517402225,88.88486603910209,21.033740129217517
